percentile,threshold,precision,recall,f1_score,f2_score,roc_auc,pr_auc,fpr,fnr,accuracy,tp,tn,fp,fn
90.0,1.328623652458191,0.5705077642771149,0.6131004653914971,0.5910377556021101,0.6040806316904846,0.7834830507344126,0.651333535606854,0.12334025853095036,0.3868995346085029,0.8210816632212223,261106,1397130,196567,164772
92.0,1.5996267795562744,0.6037598492634464,0.5959030520477695,0.5998057229022445,0.5974580101777528,0.7834830507344126,0.651333535606854,0.1045079459897333,0.40409694795223045,0.832316205142171,253782,1427143,166554,172096
93.0,1.901889443397522,0.6381876973677573,0.5941161553308694,0.6153638492799868,0.6024366898732368,0.7834830507344126,0.651333535606854,0.09000895402325536,0.4058838446691306,0.8433809093497394,253021,1450250,143447,172857
94.0,2.35478138923645,0.6666250945323798,0.5898895927941805,0.6259142205440663,0.6037901004966912,0.7834830507344126,0.651333535606854,0.0788317980143026,0.4101104072058195,0.851309805280814,251221,1468063,125634,174657
95.0,2.811936378479004,0.6991987027677631,0.5892650007748698,0.6395419956268891,0.6083964061810583,0.7834830507344126,0.651333535606854,0.0677437430076106,0.4107349992251302,0.8599279551390763,250955,1485734,107963,174923
96.0,3.2043862342834473,0.7268376861613423,0.5884549096220044,0.6503666276098942,0.6117491176859718,0.7834830507344126,0.651333535606854,0.05909843590092721,0.4115450903779956,0.8665793545671738,250610,1499512,94185,175268
97.0,3.58459210395813,0.7656037109046095,0.5871399790550346,0.664599731821184,0.6158512046350038,0.7834830507344126,0.651333535606854,0.04803610723995841,0.41286002094496543,0.8750316279415223,250050,1517142,76555,175828
97.5,3.926048994064331,0.7880087209302326,0.5855878913679504,0.6718833770229458,0.617301949710692,0.7834830507344126,0.651333535606854,0.04209771368083143,0.4144121086320496,0.8793904658158276,249389,1526606,67091,176489
98.0,4.402773857116699,0.8131311976214203,0.5843715805935034,0.6800283628643214,0.6192124014158203,0.7834830507344126,0.651333535606854,0.03588762481199375,0.4156284194064967,0.8840345122117277,248871,1536503,57194,177007
99.0,5.813508987426758,0.8577394414348077,0.5743968930069174,0.6880390620934841,0.6150302684105804,0.7834830507344126,0.651333535606854,0.02545778777270711,0.4256031069930825,0.8901615438891846,244623,1553125,40572,181255
